8910.96186,3,0.077,0.077,9.117,5,2.812,-28.75,-19.438
8910.98184,3,0.0,0.038,9.155,5,2.688,-28.812,-19.438
8911.00177,3,-0.153,0.153,9.232,5,2.812,-29.0,-19.375
8911.02183,3,-0.038,0.115,9.347,5,2.938,-28.562,-19.312
8911.04185,3,-0.038,0.0,9.232,5,2.75,-28.5,-19.312
8911.06189,3,0.192,0.0,9.347,5,2.5,-28.625,-19.25
8911.08175,3,0.038,0.192,9.27,5,2.375,-28.812,-19.5
8911.10176,3,0.038,0.038,9.194,5,2.5,-29.0,-19.312
8911.12194,3,0.115,0.115,9.232,5,2.312,-28.938,-19.625
8911.1419,3,0.038,0.0,9.232,5,2.375,-29.0,-19.5
8911.16191,3,0.077,-0.038,9.27,5,2.312,-28.812,-19.625
8911.18192,3,0.115,0.0,9.27,5,2.062,-28.875,-19.938
8911.20192,3,0.0,0.115,9.309,5,2.312,-28.562,-19.875
8911.22191,3,0.115,0.115,9.194,5,2.438,-28.5,-19.938
8911.24193,3,0.115,0.077,9.309,5,2.812,-28.25,-19.812
8911.26191,3,0.038,0.153,9.309,5,2.625,-28.25,-19.938
8911.28193,3,0.077,0.153,9.194,5,2.625,-28.25,-20.125
8911.30171,3,0.0,0.115,9.194,5,2.688,-27.938,-20.125
8911.32192,3,0.038,0.038,9.27,5,2.688,-27.938,-19.938
8911.3419,3,0.0,0.077,9.232,5,3.0,-27.812,-19.625
8911.36192,3,0.0,0.038,9.232,5,3.062,-28.062,-19.625
8911.38194,3,-0.077,0.038,9.232,5,3.188,-28.062,-19.438
8911.40174,3,-0.038,0.038,9.194,5,2.75,-28.062,-19.625
8911.42193,3,0.077,0.038,9.194,5,2.75,-28.125,-19.75
8911.44194,3,0.038,0.115,9.27,5,2.0,-28.125,-19.188
8911.46192,3,0.077,0.115,9.27,5,2.0,-28.188,-19.375
8911.48191,3,-0.038,0.038,9.27,5,2.0,-28.5,-19.5
8911.5017,3,0.0,0.192,9.232,5,1.562,-28.75,-19.75
8911.52185,3,-0.077,0.153,9.232,5,1.5,-28.625,-19.75
8911.54184,3,0.0,0.115,9.232,5,1.375,-28.812,-20.188
8911.56183,3,-0.038,0.0,9.309,5,1.562,-29.0,-20.0
8911.58185,3,0.115,0.115,9.194,5,1.688,-28.812,-19.75
8911.60171,3,0.038,0.077,9.232,5,2.188,-28.75,-20.25
8911.62184,3,0.115,0.077,9.232,5,2.188,-28.875,-20.062
8911.64183,3,0.038,-0.038,9.194,5,2.0,-28.688,-20.0
8911.66193,3,0.0,0.153,9.194,5,2.5,-28.5,-19.75
8911.68193,3,-0.038,0.153,9.194,5,2.5,-28.562,-19.562
8911.70172,3,0.077,0.038,9.309,5,2.188,-28.5,-19.312
