67531.31672,  -3.438,-19.375,-11.062
67531.33699,  -3.938,-19.500,-10.875
67531.35672,  -4.062,-19.750,-11.000
67531.37697,  -3.875,-19.812,-11.000
67531.39702,  -4.062,-20.062,-11.375
67531.41668,  -3.875,-19.688,-11.312
67531.43670,  -3.688,-19.812,-11.562
67531.45701,  -3.625,-19.688,-11.812
67531.47704,  -3.562,-19.750,-11.812
67531.49698,  -2.938,-19.312,-12.062
67531.51699,  -2.938,-19.500,-12.062
67531.53701,  -3.062,-19.500,-12.188
67531.55699,  -2.688,-19.312,-11.812
67531.57697,  -3.000,-19.312,-11.938
67531.59699,  -3.000,-19.188,-11.750
67531.61697,  -3.188,-19.000,-11.875
67531.63698,  -3.312,-19.000,-11.938
67531.65697,  -3.125,-18.875,-11.625
67531.67697,  -2.750,-18.562,-11.500
67531.69698,  -2.750,-18.375,-11.375
67531.71696,  -2.750,-18.250,-11.625
67531.73699,  -2.562,-18.125,-11.500
67531.75676,  -2.625,-18.000,-11.562
67531.77698,  -2.562,-18.250,-11.562
67531.79696,  -2.562,-18.438,-11.438
67531.81699,  -2.375,-19.250,-10.938
67531.83696,  -2.438,-19.938, -9.625
67531.85697,  -2.500,-20.562, -8.062
67531.87700,  -2.438,-21.125, -6.188
67531.89699,  -2.375,-21.938, -4.562
67531.91698,  -2.375,-22.562, -3.000
67531.93700,  -2.125,-23.062, -1.375
67531.95698,  -2.062,-23.438,  0.000
67531.97698,  -2.438,-23.500,  0.750
67531.99699,  -2.688,-23.438,  1.125
67532.01697,  -2.688,-23.562,  1.188
67532.03697,  -2.750,-23.625,  0.812
67532.05696,  -3.062,-23.688,  0.750
67532.07697,  -3.125,-23.875,  0.812
67532.09699,  -3.188,-23.875,  0.875
67532.11696,  -3.312,-23.812,  1.188
67532.13696,  -3.062,-23.500,  1.250
67532.15673,  -2.688,-23.500,  0.000
67532.17672,  -2.188,-22.875, -0.562
67532.19688,  -2.125,-22.812, -0.312
67532.21699,  -1.938,-23.000, -0.125
67532.23699,  -1.812,-22.688, -0.250
67532.25698,  -1.688,-22.688, -0.250
67532.27694,  -2.188,-22.438, -1.312
67532.29700,  -2.062,-22.312, -1.375
67532.31699,  -2.438,-22.062, -0.438
67532.33697,  -2.812,-22.562,  0.000
67532.35701,  -2.812,-22.562,  0.000
67532.37697,  -3.000,-22.375, -0.062
67532.39697,  -3.188,-22.688,  0.000
67532.41697,  -3.312,-22.688, -0.188
67532.43699,  -2.500,-23.000,  1.000
67532.45698,  -3.312,-23.062,  0.812
67532.47695,  -3.312,-22.688, -0.438
67532.49699,  -3.375,-22.062, -2.062
67532.51699,  -3.562,-21.750, -3.625
67532.53698,  -3.125,-21.000, -5.188
67532.55699,  -3.188,-20.250, -6.750
67532.57700,  -3.250,-19.562, -8.250
67532.59697,  -3.625,-18.812, -9.875
67532.61697,  -3.125,-18.750,-11.000
67532.63698,  -3.188,-18.750,-11.062
67532.65701,  -3.312,-18.812,-11.188
67532.67699,  -3.312,-18.938,-11.188
67532.69698,  -3.625,-18.938,-11.250
67532.71698,  -3.312,-19.062,-11.125
67532.73670,  -3.562,-19.312,-11.000
67532.75698,  -3.250,-19.375,-10.875
67532.77700,  -3.188,-19.812, -9.375
67532.79698,  -2.875,-20.625, -7.812
67532.81696,  -2.938,-20.625, -7.438
67532.83699,  -2.688,-20.375, -7.438
67532.85673,  -2.688,-20.375, -7.562
67532.87665,  -2.688,-20.500, -7.812
67532.89678,  -2.688,-20.562, -7.938
67532.91679,  -2.938,-20.750, -8.562
67532.93678,  -3.000,-20.125,-10.312
67532.95678,  -3.250,-19.562,-11.812
67532.97680,  -2.938,-19.438,-11.938
67532.99688,  -3.250,-19.562,-12.000
67533.01687,  -3.250,-19.438,-11.938
67533.03696,  -3.125,-19.250,-11.750
